Prestwick Chemical Library ID	Compound Name	Subset	Well	Plate1	Plate2	Plate3	Plate4	NonInfectedToxHit	UZH_mean_numberOfNucleiHit	UZH_mean_numberOfInfectedNucleiHit	UZH_mean_infectionIndexHit	UZH_mean_numberOfPlaquesHit	UZH_mean_totalVirusIntensityHit	UZH_mean_numberOfNuclei_normalized	UZH_mean_numberOfInfectedNuclei_normalized	UZH_mean_infectionIndex_normalized	UZH_mean_numberOfPlaques_normalized	UZH_mean_totalVirusIntensity_normalized	Validation_ongoing
Prestw-323	Chlorpropamide	C	F6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.949019314	0.984095358	1.037609191	1.03392455	1.022690306	
Prestw-324	Phenylpropanolamine hydrochloride	C	G6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.999879381	1.016062559	1.017404157	0.850929054	1.000543069	
Prestw-325	Ascorbic acid	C	H6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.972735697	0.929046209	0.952589255	0.914977477	0.910979182	
Prestw-326	Methyldopa (L,-)	C	I6	BSF018294	BSF018298	BSF018302	BSF018306	0						1.014611973	0.968770091	0.950532442	0.933277027	0.880040131	
Prestw-327	Cefoperazone dihydrate	C	J6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.948696502	0.964829052	1.028211406	0.99732545	1.070110945	
Prestw-328	Zoxazolamine	C	K6	BSF018294	BSF018298	BSF018302	BSF018306	0						1.041810605	0.990678685	0.950643622	0.979025901	0.875742419	
Prestw-329	Tacrine hydrochloride	C	L6	BSF018294	BSF018298	BSF018302	BSF018306	0						1.013760299	1.032552224	1.016227835	1.006475225	1.008344001	
Prestw-330	Bisoprolol fumarate	C	N6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.955145875	1.007580368	1.063990069	1.107122748	1.066215824	
Prestw-331	Tremorine dihydrochloride	C	O6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.928050269	0.912296793	0.993829145	1.006475225	0.974469288	
Prestw-332	Practolol	C	P6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.939005273	1.024320827	1.087464886	1.107122748	1.127938133	
Prestw-333	Zidovudine, AZT	C	A7	BSF018294	BSF018298	BSF018302	BSF018306	0						0.929884116	0.880840136	0.939268271	0.988175676	0.900486352	
Prestw-334	Sulfisoxazole	C	B7	BSF018294	BSF018298	BSF018302	BSF018306	0						0.974109365	0.929055166	0.950420423	0.905827703	0.906878606	
Prestw-335	Zaprinast	C	C7	BSF018294	BSF018298	BSF018302	BSF018306	0						0.988223806	0.920313224	0.934146718	0.850929054	0.913016258	
Prestw-336	Chlormezanone	C	D7	BSF018294	BSF018298	BSF018302	BSF018306	0						1.031487488	0.95669618	0.92873314	1.024774775	0.895659309	
Prestw-337	Procainamide hydrochloride	C	E7	BSF018294	BSF018298	BSF018302	BSF018306	1						0.976355313	0.994001697	1.018457552	0.951576577	0.993731797	
Prestw-338	N6-methyladenosine	C	F7	BSF018294	BSF018298	BSF018302	BSF018306	0						1.011102251	1.097767463	1.083076242	1.015625	1.083294726	
Prestw-339	Guanfacine hydrochloride	C	G7	BSF018294	BSF018298	BSF018302	BSF018306	1						0.934355406	0.750131994	0.814103296	0.860078829	0.631957448	
Prestw-340	Domperidone	C	I7	BSF018294	BSF018298	BSF018302	BSF018306	0						0.977516062	0.924657324	0.943072218	0.896677928	0.916810151	
Prestw-341	Furosemide	C	J7	BSF018294	BSF018298	BSF018302	BSF018306	0						1.000057958	0.97832711	0.978700638	1.03392455	0.966827817	
Prestw-342	Methapyrilene hydrochloride	C	K7	BSF018294	BSF018298	BSF018302	BSF018306	0						1.042957618	1.020182736	0.975943433	0.924127252	0.905398623	
Prestw-343	Desipramine hydrochloride	C	L7	BSF018294	BSF018298	BSF018302	BSF018306	0						1.058706724	1.179633592	1.110163811	1.116272523	1.114672625	
Prestw-344	Clorgyline hydrochloride	C	M7	BSF018294	BSF018298	BSF018302	BSF018306	0						0.931408888	0.85937043	0.927558348	0.887528153	0.861043267	
Prestw-345	Clenbuterol hydrochloride	C	N7	BSF018294	BSF018298	BSF018302	BSF018306	0						1.012166844	0.948258774	0.939748139	1.024774775	0.898836468	
Prestw-346	Maprotiline hydrochloride	C	O7	BSF018294	BSF018298	BSF018302	BSF018306	0						0.944719733	1.066498902	1.125340396	0.99732545	1.171590965	
Prestw-347	Thioguanosine	C	P7	BSF018294	BSF018298	BSF018302	BSF018306	1						0.953133451	0.841528272	0.880355257	0.924127252	0.806318064	
Prestw-348	Chlorprothixene hydrochloride	C	A8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.837875816	0.9922551	1.187680672	1.20777027	1.244828342	
Prestw-349	Ritodrine hydrochloride	C	B8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.851131715	0.86843482	1.023326144	0.924127252	0.99935559	
Prestw-350	Clozapine	C	D8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.955317583	0.975066796	1.025079607	0.942426802	0.986646636	
Prestw-351	Chlorthalidone	C	E8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.950997397	0.929449269	0.973801157	0.933277027	0.942527058	
Prestw-352	Dobutamine hydrochloride	C	F8	BSF018294	BSF018298	BSF018302	BSF018306	0						1.01715326	1.042162986	1.024612346	0.988175676	0.983655265	
Prestw-353	Moclobemide	C	G8	BSF018294	BSF018298	BSF018302	BSF018306	1						0.921868762	0.859092766	0.939807989	0.841779279	0.924823784	
Prestw-355	Hycanthone	C	I8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.934520246	0.844161602	0.899700782	0.905827703	0.827358643	
Prestw-356	Adenosine 5'-monophosphate monohydrate	C	J8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.948861343	0.975219064	1.034631812	0.933277027	1.061026588	
Prestw-357	Amoxicillin	C	K8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.941642716	0.963118282	1.020597281	1.006475225	1.011353003	
Prestw-359	Dextromethorphan hydrobromide monohydrate	C	L8	BSF018294	BSF018298	BSF018302	BSF018306	0						1.03305347	1.238767091	1.196227796	1.20777027	1.289343771	
Prestw-360	Droperidol	C	N8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.934533983	0.848263866	0.906738702	0.860078829	0.841169522	
Prestw-361	Bambuterol hydrochloride	C	O8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.892163186	0.85664753	0.965066398	0.896677928	0.945627279	
Prestw-362	Betamethasone	C	P8	BSF018294	BSF018298	BSF018302	BSF018306	1						0.490639957	0.57399442	1.176933348	0.969876126	0.804957048	
Prestw-363	Colchicine	C	A9	BSF018294	BSF018298	BSF018302	BSF018306	1						0.140910889	0.026691582	0.191507278	0	0.132923955	
Prestw-364	Metergoline	C	B9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.932782556	0.924406531	0.9905179	0.951576577	0.945391104	
Prestw-365	Brinzolamide	C	C9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.98406846	0.884315416	0.898205518	0.933277027	0.853851391	
Prestw-366	Ambroxol hydrochloride	C	D9	BSF018294	BSF018298	BSF018302	BSF018306	0						1.005738076	0.875116672	0.873076979	0.82347973	0.802235049	
Prestw-367	Benfluorex hydrochloride	C	E9	BSF018294	BSF018298	BSF018302	BSF018306	0						1.031260832	1.104288092	1.067426404	1.052224099	1.046343105	
Prestw-368	Bepridil hydrochloride	C	F9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.958367127	0.824080217	0.851584887	0.887528153	0.834674724	
Prestw-369	Meloxicam	C	G9	BSF018294	BSF018298	BSF018302	BSF018306	0						1.020958321	1.033474786	1.010543525	0.924127252	0.966219592	
Prestw-370	Benzbromarone	C	I9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.98986534	0.966387553	0.966863339	0.924127252	0.938981352	
Prestw-371	Ketotifen fumarate	C	J9	BSF018294	BSF018298	BSF018302	BSF018306	0						1.078466942	1.126698273	1.048544862	0.988175676	1.04983098	
Prestw-372	Debrisoquin sulfate	C	K9	BSF018294	BSF018298	BSF018302	BSF018306	0						1.045601929	1.056377597	1.014253257	0.99732545	0.996651942	
Prestw-373	Amethopterin (R,S)	C	L9	BSF018294	BSF018298	BSF018302	BSF018306	1						0.277116964	0.007774595	0.028325538	0	0.090851334	
Prestw-374	Methylergometrine maleate	C	M9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.977351222	1.059602083	1.087053612	1.052224099	1.075209991	
Prestw-375	Methiothepin maleate	C	N9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.987804837	1.056843356	1.072815889	0.960726351	1.095979932	
Prestw-376	Clofazimine	C	O9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.958621256	0.71878282	0.758113119	0.850929054	0.702366185	
Prestw-377	Nafronyl oxalate	C	P9	BSF018294	BSF018298	BSF018302	BSF018306	1						0.998485108	1.078366803	1.075840814	1.107122748	1.083286672	
Prestw-378	Bezafibrate	C	A10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.90634631	0.983575858	1.081679211	1.088823198	1.062322144	
Prestw-380	Clebopride maleate	C	C10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.974260469	1.029041117	1.056872214	0.969876126	1.039968218	
Prestw-381	Lidoflazine	C	D10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.971842812	0.936587924	0.963173059	0.924127252	0.919694	
Prestw-382	Betaxolol hydrochloride	C	E10	BSF018294	BSF018298	BSF018302	BSF018306	0						1.002606113	0.955791533	0.95663349	0.869228604	0.955673635	
Prestw-383	Nicardipine hydrochloride	C	F10	BSF018294	BSF018298	BSF018302	BSF018306	0						1.003004477	1.062020448	1.057555099	0.896677928	1.004561871	
Prestw-384	Probucol	C	G10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.999426071	0.978712257	0.983080415	0.979025901	0.95152232	
Prestw-385	Mitoxantrone dihydrochloride	C	H10	BSF018294	BSF018298	BSF018302	BSF018306	1						0.077076525	0.031985114	0.451090858	0	0.135545822	
Prestw-386	GBR 12909 dihydrochloride	C	I10	BSF018294	BSF018298	BSF018302	BSF018306	0						1.029145383	1.046874319	1.013328354	0.914977477	1.015902064	
Prestw-387	Carbetapentane citrate	C	J10	BSF018294	BSF018298	BSF018302	BSF018306	0						1.026535414	0.999223574	0.972837617	0.99732545	0.946995423	
Prestw-388	Dequalinium dichloride	C	K10	BSF018294	BSF018298	BSF018302	BSF018306	1		1	1	1	1	0.790209528	0.492665706	0.621104971	0.512387387	0.369690436	
Prestw-389	Ketoconazole	C	L10	BSF018294	BSF018298	BSF018302	BSF018306	0						1.012050082	0.924970816	0.912550093	0.933277027	0.850159582	
Prestw-390	Fusidic acid sodium salt	C	N10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.989315873	0.90274873	0.929332783	0.850929054	0.882233405	
Prestw-391	Terbutaline hemisulfate	C	O10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.9801329	1.08460081	1.110665989	1.134572072	1.15399983	
Prestw-392	Ketanserin tartrate hydrate	C	P10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.954761248	1.007768463	1.058979567	1.162021396	1.05901135	
Prestw-393	Hemicholinium bromide	C	A11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.912871235	1.052096195	1.152191465	1.125422297	1.192752043	
Prestw-394	Kanamycin A sulfate	C	B11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.909155462	0.977789696	1.065317752	1.006475225	1.110539981	
Prestw-395	Amikacin hydrate	C	C11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.942954569	0.931518315	0.985490415	0.933277027	0.933328681	
Prestw-396	Etoposide	C	D11	BSF018294	BSF018298	BSF018302	BSF018306	1						0.547667794	0.652806244	1.18860271	1.509712838	0.817870645	
Prestw-397	Clomiphene citrate (Z,E)	C	E11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.939403637	0.885023011	0.93526881	1.015625	0.897806687	
Prestw-398	Oxantel pamoate	C	F11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.97856005	0.936695407	0.952279991	0.951576577	0.876451806	
Prestw-399	Prochlorperazine dimaleate	C	G11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.99562101	0.905373104	0.911917961	0.869228604	0.872510039	
Prestw-400	Hesperidin	C	J11	BSF018294	BSF018298	BSF018302	BSF018306	0						1.034454611	1.003370622	0.979343982	0.988175676	0.971813289	
Prestw-401	Testosterone propionate	C	K11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.957810791	0.937125339	0.974819456	1.006475225	0.971624601	
Prestw-403	Thyroxine (L)	C	L11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.97524951	0.924845419	0.953164338	0.82347973	0.93217225	
Prestw-405	Pepstatin A	C	M11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.925412826	0.951017501	1.025767507	0.960726351	0.991109723	
Prestw-407	Adamantamine fumarate	C	N11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.938538226	0.976222237	1.044229947	0.869228604	1.016268883	
Prestw-408	Butoconazole nitrate	C	O11	BSF018294	BSF018298	BSF018302	BSF018306	0						0.976884175	1.020711194	1.042317033	1.015625	1.06569003	
Prestw-409	Amiodarone hydrochloride	C	P11	BSF018294	BSF018298	BSF018302	BSF018306	1						0.961835639	1.095393883	1.140468534	1.198620495	1.209645802	
Prestw-411	Androsterone	C	C12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.958648729	0.946162858	0.989853738	0.969876126	0.952837417	
Prestw-413	Carbarsone	C	D12	BSF018294	BSF018298	BSF018302	BSF018306	0						1.009302746	0.84769958	0.840002004	0.841779279	0.763015265	
Prestw-416	Bacampicillin hydrochloride	C	E12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.979693326	1.041249381	1.059880837	1.03392455	1.0521284	
Prestw-418	Biotin	C	F12	BSF018294	BSF018298	BSF018302	BSF018306	0						1.019131342	1.046193594	1.024135363	1.043074324	0.982913702	
Prestw-419	Bisacodyl	C	G12	BSF018294	BSF018298	BSF018302	BSF018306	1						0.96121062	0.931921376	0.967139223	0.951576577	0.953644014	
Prestw-421	Suloctidil	C	I12	BSF018294	BSF018298	BSF018302	BSF018306	0						1.020697324	1.103553625	1.076579105	0.841779279	1.069998523	
Prestw-423	Carisoprodol	C	J12	BSF018294	BSF018298	BSF018302	BSF018306	0						1.042627937	0.986388326	0.943284496	0.988175676	0.90493632	
Prestw-424	Cephalosporanic acid, 7-amino	C	K12	BSF018294	BSF018298	BSF018302	BSF018306	0						1.071241447	1.075930524	1.010205497	0.896677928	0.97778661	
Prestw-425	Chicago sky blue 6B	C	L12	BSF018294	BSF018298	BSF018302	BSF018306	0						1.019811308	1.012632064	0.990608517	1.079673423	0.901132373	
Prestw-426	Buflomedil hydrochloride	C	M12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.990868118	0.950632354	0.960628527	0.905827703	0.914986489	
Prestw-428	Roxatidine Acetate HCl	C	N12	BSF018294	BSF018298	BSF018302	BSF018306	0						0.982708528	1.019430356	1.038583199	1.107122748	1.020824844	
Prestw-430	Cisapride	C	P12	BSF018294	BSF018298	BSF018302	BSF018306	1						0.990909328	1.030151773	1.041327741	0.924127252	1.044025659	
Prestw-432	Corticosterone	C	A13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.640665134	0.720386106	1.141813025	1.363316441	1.009251534	
Prestw-433	Cyanocobalamin	C	B13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.945468382	0.970239023	1.01319557	0.969876126	1.004611878	
Prestw-434	Cefadroxil	C	C13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.922658621	0.919820595	0.991244919	0.887528153	0.941877597	
Prestw-435	Cyclosporin A	C	D13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.84253942	1.097453972	1.298546805	1.280968468	1.321846607	
Prestw-436	Digitoxigenin	C	E13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.065942944	0.000528458	0.009381738	0	0.074325087	
Prestw-437	Digoxin	C	F13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.066025364	0.000322449	0.005469782	0	0.073659552	
Prestw-438	Doxorubicin hydrochloride	C	G13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.124729077	0.095829947	0.771523082	0.137246622	0.200188759	
Prestw-439	Carbimazole	C	H13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.968147645	1.061939836	1.095573843	1.070523649	1.064468919	
Prestw-440	Epiandrosterone	C	J13	BSF018294	BSF018298	BSF018302	BSF018306	0						1.002496219	0.977323937	0.972982225	0.988175676	0.898413318	
Prestw-441	Estradiol-17 beta	C	K13	BSF018294	BSF018298	BSF018302	BSF018306	0						1.003753126	1.053977146	1.051546394	0.960726351	1.026429876	
Prestw-443	Gabazine bromide	C	L13	BSF018294	BSF018298	BSF018302	BSF018306	0						1.027648085	1.092223138	1.057826843	0.924127252	1.072476142	
Prestw-445	Cyclobenzaprine hydrochloride	C	M13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.927974717	0.997745684	1.073175158	1.143721847	1.010936579	
Prestw-446	Carteolol hydrochloride	C	N13	BSF018294	BSF018298	BSF018302	BSF018306	0						0.964514292	0.991825169	1.03206696	0.777730856	1.053327914	
Prestw-447	Hydrocortisone base	C	O13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.528992774	0.595383514	1.126950221	0.988175676	0.861837079	
Prestw-448	Hydroxytacrine maleate (R,S)	C	P13	BSF018294	BSF018298	BSF018302	BSF018306	1						0.987035583	1.026703364	1.044539235	1.088823198	1.031203874	
Prestw-449	Pilocarpine nitrate	C	A14	BSF018294	BSF018298	BSF018302	BSF018306	0						0.949774832	1.002725725	1.055362663	1.052224099	1.077760028	
Prestw-450	Dicloxacillin sodium salt hydrate	C	C14	BSF018294	BSF018298	BSF018302	BSF018306	0						0.991184061	0.870485951	0.877057489	0.786880631	0.817277172	
Prestw-451	Alizapride HCl	C	D14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.003045687	0.937823977	0.930499448	0.99732545	0.849382962	
Prestw-455	Mebhydroline 1,5-naphtalenedisulfonate	C	E14	BSF018294	BSF018298	BSF018302	BSF018306	0						0.969445761	1.033009027	1.065274514	0.942426802	1.040738961	
Prestw-456	Meclocycline sulfosalicylate	C	F14	BSF018294	BSF018298	BSF018302	BSF018306	1						1.018382693	0.937116382	0.921331095	0.951576577	0.830935903	
Prestw-457	Meclozine dihydrochloride	C	G14	BSF018294	BSF018298	BSF018302	BSF018306	1						0.987275975	1.019260175	1.033111311	1.024774775	0.994338215	
Prestw-458	Melatonin	C	H14	BSF018294	BSF018298	BSF018302	BSF018306	1						0.994824282	0.942266603	0.958462393	0.969876126	0.917797905	
Prestw-460	Dinoprost trometamol	C	J14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.081152463	1.073718168	0.993788035	0.942426802	0.92932502	
Prestw-461	Tropisetron HCl	C	K14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.036109881	1.092241052	1.057460883	0.99732545	1.044249628	
Prestw-462	Cefixime	C	L14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.064716523	1.076181318	1.009446719	0.979025901	0.953755833	
Prestw-463	Metrizamide	C	M14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.018231589	0.986155447	0.969045798	0.914977477	0.958211711	
Prestw-468	Neostigmine bromide	C	N14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.012743785	1.021275479	1.009825135	0.99732545	0.972430937	
Prestw-469	Niridazole	C	O14	BSF018294	BSF018298	BSF018302	BSF018306	0						1.006733986	0.994073353	0.99018786	0.960726351	0.968991805	
Prestw-470	Ceforanide	C	A15	BSF018294	BSF018298	BSF018302	BSF018306	0						0.947892906	0.957699354	1.008607388	1.061373874	0.988949137	
Prestw-473	Cefotetan	C	B15	BSF018294	BSF018298	BSF018302	BSF018306	0						1.007310927	1.009111999	0.998375088	0.942426802	0.997467048	
Prestw-475	Brompheniramine maleate	C	C15	BSF018294	BSF018298	BSF018302	BSF018306	0						0.981980484	0.902524807	0.918496957	0.860078829	0.888084441	
Prestw-476	Primaquine diphosphate	C	D15	BSF018294	BSF018298	BSF018302	BSF018306	1						1.000360165	0.993544895	0.990674478	0.942426802	1.007269085	
Prestw-477	Progesterone	C	E15	BSF018294	BSF018298	BSF018302	BSF018306	0						1.002729743	1.078313062	1.072330826	1.03392455	1.069228853	
Prestw-478	Felodipine	C	F15	BSF018294	BSF018298	BSF018302	BSF018306	1						1.030333606	0.984238669	0.952010462	0.99732545	0.901370504	
Prestw-481	Serotonin hydrochloride	C	H15	BSF018294	BSF018298	BSF018302	BSF018306	1						1.001589598	1.019358701	1.017290461	1.03392455	0.971563785	
Prestw-482	Cefotiam hydrochloride	C	I15	BSF018294	BSF018298	BSF018302	BSF018306	0						1.025148009	1.01200508	0.986151741	1.079673423	0.917540894	
Prestw-484	Benperidol	C	J15	BSF018294	BSF018298	BSF018302	BSF018306	0						1.022902061	1.024105861	1.001306559	0.951576577	0.98186165	
Prestw-485	Cefaclor hydrate	C	K15	BSF018294	BSF018298	BSF018302	BSF018306	0						1.033348808	1.093907037	1.060634389	1.061373874	0.958253365	
Prestw-486	Colistin sulfate	C	L15	BSF018294	BSF018298	BSF018302	BSF018306	0						1.05773142	1.0969076	1.042126299	0.960726351	1.031547814	
Prestw-487	Daunorubicin hydrochloride	C	M15	BSF018294	BSF018298	BSF018302	BSF018306	1						0.141130676	0.13783784	0.977296073	0.338541667	0.248879058	
Prestw-488	Dosulepin hydrochloride	C	N15	BSF018294	BSF018298	BSF018302	BSF018306	0						1.014763077	1.106813939	1.090493384	0.99732545	1.068037437	
Prestw-489	Ceftazidime pentahydrate	C	O15	BSF018294	BSF018298	BSF018302	BSF018306	0						0.993045382	1.025288173	1.024948008	1.070523649	1.041737416	
Prestw-490	Iobenguane sulfate	C	A16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.836653252	0.862362037	1.023168819	0.942426802	0.964185738	
Prestw-491	Metixene hydrochloride	C	B16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.870562252	0.966468166	1.104442524	1.171171171	1.123665354	
Prestw-492	Nitrofural	C	C16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.947858565	0.903169705	0.949320222	0.878378378	0.926737912	
Prestw-493	Omeprazole	C	D16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.917225763	0.864440039	0.938571476	0.841779279	0.87996429	
Prestw-494	Propylthiouracil	C	E16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.986225119	0.995578113	1.009005158	0.914977477	0.956768659	
Prestw-495	Terconazole	C	F16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.958126735	0.954519652	0.995450348	0.988175676	0.955584052	
Prestw-496	Tiaprofenic acid	C	G16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.998979629	0.955236204	0.957115172	0.960726351	0.953877231	
Prestw-497	Vancomycin hydrochloride	C	H16	BSF018294	BSF018298	BSF018302	BSF018306	1						0.948751449	1.006066651	1.060499151	1.015625	1.072738147	
Prestw-498	Artemisinin	C	I16	BSF018294	BSF018298	BSF018302	BSF018306	1						0.972076336	1.029874109	1.067357399	0.850929054	1.035888307	
Prestw-499	Propafenone hydrochloride	C	J16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.98125244	1.01113626	1.032011599	0.99732545	1.017708398	
Prestw-500	Ethamivan	C	M16	BSF018294	BSF018298	BSF018302	BSF018306	0						1.009481322	1.013393401	1.016212046	0.988175676	0.941124306	
Prestw-501	Vigabatrin	C	N16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.982207139	0.941218645	0.960837828	1.015625	0.94370782	
Prestw-502	Biperiden hydrochloride	C	O16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.927617563	0.925445532	0.994033489	1.006475225	0.96892773	
Prestw-503	Cetirizine dihydrochloride	C	P16	BSF018294	BSF018298	BSF018302	BSF018306	0						0.927301619	0.923878073	0.997267079	1.052224099	0.999091902	
Prestw-504	Etifenin	C	A17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.912603369	0.98591361	1.079870991	0.979025901	1.053870369	
Prestw-505	Metaproterenol sulfate, orciprenaline sulfate	C	B17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.934403484	0.95047113	1.002579168	0.869228604	0.902936175	
Prestw-506	Sisomicin sulfate	C	C17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.977735849	0.911015955	0.932614943	0.905827703	0.867759088	
Prestw-509	Bromperidol	C	D17	BSF018294	BSF018298	BSF018302	BSF018306	0						1.002159671	0.996008044	0.986845857	0.878378378	0.923483574	
Prestw-510	Cyclizine hydrochloride	C	E17	BSF018294	BSF018298	BSF018302	BSF018306	0						1.002297037	1.124190339	1.12387358	1.171171171	1.157946379	
Prestw-511	Fluoxetine hydrochloride	C	F17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.994810546	1.125578659	1.127774777	1.052224099	1.176482984	
Prestw-512	Iohexol	C	G17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.986822665	0.927048818	0.936793966	0.960726351	0.885396256	
Prestw-513	Norcyclobenzaprine	C	H17	BSF018294	BSF018298	BSF018302	BSF018306	1						1.053047211	1.165320455	1.104992739	0.960726351	1.074466281	
Prestw-514	Pyrazinamide	C	I17	BSF018294	BSF018298	BSF018302	BSF018306	1						1.048919338	1.125945892	1.067399592	0.969876126	1.059085351	
Prestw-515	Trimethadione	C	J17	BSF018294	BSF018298	BSF018302	BSF018306	0						1.064043425	1.038060722	0.976000948	0.850929054	0.982235884	
Prestw-516	Lovastatin	C	K17	BSF018294	BSF018298	BSF018302	BSF018306	0						1.041007009	1.109796589	1.063801004	0.988175676	1.065674716	
Prestw-517	Nystatine	C	L17	BSF018294	BSF018298	BSF018302	BSF018306	0						1.094854804	1.094811684	0.999911565	1.070523649	0.900028095	
Prestw-518	Budesonide	C	M17	BSF018294	BSF018298	BSF018302	BSF018306	1						0.484156243	0.566461661	1.170926386	0.82347973	0.768193168	
Prestw-519	Imipenem	C	N17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.949259706	0.95171614	1.010156863	1.107122748	0.977220296	
Prestw-520	Sulfasalazine	C	P17	BSF018294	BSF018298	BSF018302	BSF018306	0						0.977406169	0.979724388	0.999267692	0.988175676	0.953682469	
Prestw-522	Thiostrepton	C	A18	BSF018294	BSF018298	BSF018302	BSF018306	1						0.81964037	0.797702126	0.972935193	0.988175676	0.865691698	
Prestw-524	Tiabendazole	C	B18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.892328026	0.814809818	0.908588999	0.887528153	0.845394911	
Prestw-525	Rifampicin	C	C18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.924245208	0.926466619	0.998455203	0.969876126	0.944890847	
Prestw-526	Ethionamide	C	D18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.942102895	0.893209624	0.954257781	0.99732545	0.890351565	
Prestw-527	Tenoxicam	C	E18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.946642868	0.968116236	1.021919327	0.82347973	1.016923241	
Prestw-528	Triflusal	C	F18	BSF018294	BSF018298	BSF018302	BSF018306	0						0.980496922	1.006684677	1.028792297	1.107122748	1.041370221	
Prestw-529	Mesoridazine besylate	C	G18	BSF018294	BSF018298	BSF018302	BSF018306	1						1.013835851	1.066776566	1.054519798	1.152871622	1.067467948	
Prestw-530	Trolox	C	I18	BSF018294	BSF018298	BSF018302	BSF018306	1						0.97541435	1.003630372	1.029685272	0.988175676	1.020300103	
Prestw-531	Pirenperone	C	J18	BSF018294	BSF018298	BSF018302	BSF018306	0						1.032730658	0.960753659	0.930157567	0.878378378	0.863252514	
