Prestwick Chemical Library ID	Compound Name	Subset	Well	Plate1	Plate2	Plate3	Plate4	NonInfectedToxHit	EPFL_mean_numberOfNucleiScore	EPFL_mean_numberOfInfectedNucleiScore	EPFL_mean_infectionIndexScore	EPFL_mean_numberOfPlaquesScore	EPFL_mean_totalVirusIntensityScore	EPFL_mean_numberOfNuclei_normalized	EPFL_mean_numberOfInfectedNuclei_normalized	EPFL_mean_infectionIndex_normalized	EPFL_mean_numberOfPlaques_normalized	EPFL_mean_totalVirusIntensity_normalized	Validation_ongoing
Prestw-193	Oxolinic acid	B	H17	BSF018293	BSF018297	BSF018301	BSF018305	0	0.378					0.378	0.379	-0.079	0.043	0.201	
Prestw-194	Nimesulide	B	I17	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.048	-0.052	0.009	-0.054	0.05	
Prestw-196	Pentoxifylline	B	J17	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.004	0.116	0.135	0.029	0.182	
Prestw-197	Metaraminol bitartrate	B	K17	BSF018293	BSF018297	BSF018301	BSF018305	0						0.014	0.013	-0.001	-0.025	-0.001	
Prestw-198	Salbutamol	B	L17	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.1	0.007	0.125	0.112	0.174	
Prestw-199	Prilocaine hydrochloride	B	M17	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.002	0.089	0.102	0.044	0.127	
Prestw-200	Camptothecine (S,+)	B	P17	BSF018293	BSF018297	BSF018301	BSF018305	1	0.716	0.931	0.448	0.828	0.774	0.716	0.932	0.448	0.829	0.775	
Prestw-201	Ranitidine hydrochloride	B	A18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.109	0.09	-0.026	-0.037	-0.08	
Prestw-202	Tiratricol, 3,3',5-triiodothyroacetic acid	B	B18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.011	0.02	0.012	0.004	-0.026	
Prestw-203	Flufenamic acid	B	C18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.05	0.157	0.111	-0.004	0.121	
Prestw-204	Flumequine	B	D18	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.01	0.064	0.078	0.09	0.077	
Prestw-205	Tolfenamic acid	B	E18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.02	-0.006	-0.016	-0.096	-0.043	
Prestw-206	Meclofenamic acid sodium salt monohydrate	B	F18	BSF018293	BSF018297	BSF018301	BSF018305	0						0	-0.108	-0.11	-0.123	-0.167	
Prestw-208	Trimethoprim	B	G18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.022	-0.027	-0.051	-0.007	-0.09	
Prestw-209	Metoclopramide monohydrochloride	B	H18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.068	0.077	0.005	0.013	-0.01	
Prestw-210	Fenbendazole	B	J18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.02	0.002	-0.014	-0.017	-0.024	
Prestw-211	Piroxicam	B	K18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.024	-0.027	-0.054	-0.153	-0.046	
Prestw-212	Pyrantel tartrate	B	L18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.07	0.167	0.095	-0.03	0.135	
Prestw-213	Fenspiride hydrochloride	B	M18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.057	0.051	-0.018	-0.054	-0.027	
Prestw-214	Gemfibrozil	B	N18	BSF018293	BSF018297	BSF018301	BSF018305	0						0.006	0.065	0.056	0.042	0.056	
Prestw-215	Mefexamide hydrochloride	B	O18	BSF018293	BSF018297	BSF018301	BSF018305	0	0.297					0.297	0.25	-0.127	-0.226	-0.016	
Prestw-216	Tiapride hydrochloride	B	P18	BSF018293	BSF018297	BSF018301	BSF018305	1	0.398					0.398	0.388	-0.106	-0.284	0.15	
Prestw-217	Mebendazole	B	A19	BSF018293	BSF018297	BSF018301	BSF018305	1						0.067	-0.021	-0.107	-0.067	-0.147	
Prestw-218	Fenbufen	B	B19	BSF018293	BSF018297	BSF018301	BSF018305	0						0.013	0.032	0.023	-0.083	0.012	
Prestw-219	Ketoprofen	B	C19	BSF018293	BSF018297	BSF018301	BSF018305	0						0.015	0.04	0.033	-0.003	0.048	
Prestw-220	Indapamide	B	E19	BSF018293	BSF018297	BSF018301	BSF018305	0						0.065	0.026	-0.002	-0.009	0.012	
Prestw-221	Norfloxacin	B	F19	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.068	-0.197	-0.108	-0.091	-0.159	
Prestw-222	Antimycin A	B	G19	BSF018293	BSF018297	BSF018301	BSF018305	1	0.558	0.826			0.897	0.558	0.827	0.471	0.582	0.898	
Prestw-223	Xylometazoline hydrochloride	B	H19	BSF018293	BSF018297	BSF018301	BSF018305	1	0.445					0.445	0.493	-0.019	0.054	0.375	
Prestw-224	Oxymetazoline hydrochloride	B	I19	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.001	0.101	0.114	0.063	0.122	
Prestw-225	Nifenazone	B	J19	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.047	-0.019	0.04	0.078	0.024	
Prestw-226	Griseofulvin	B	K19	BSF018293	BSF018297	BSF018301	BSF018305	1	0.526	0.596				0.526	0.596	0.027	0.178	0.486	
Prestw-227	Clemizole hydrochloride	B	L19	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.054	0.137	0.201	0.115	0.231	
Prestw-228	Tropicamide	B	M19	BSF018293	BSF018297	BSF018301	BSF018305	0						0.005	0.081	0.072	0.13	0.098	
Prestw-229	Nefopam hydrochloride	B	N19	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.057	-0.112	-0.047	-0.045	-0.052	
Prestw-230	Phentolamine hydrochloride	B	P19	BSF018293	BSF018297	BSF018301	BSF018305	0						0.021	-0.078	-0.104	-0.128	-0.144	
Prestw-231	Etodolac	B	A20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.079	0.047	-0.05	0	-0.064	
Prestw-232	Scopolamin-N-oxide hydrobromide	B	B20	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.048	0.146	0.204	0.095	0.181	
Prestw-233	Hyoscyamine (L)	B	C20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.083	0.16	0.122	0.212	0.144	
Prestw-234	Chlorphensin carbamate	B	D20	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.043	0.015	0.064	-0.019	0.044	
Prestw-236	Dilazep dihydrochloride	B	E20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.014	-0.217	-0.246	-0.069	-0.351	
Prestw-237	Ofloxacin	B	F20	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.026	-0.135	-0.108	-0.102	-0.15	
Prestw-238	Lomefloxacin hydrochloride	B	G20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.243	0.374	0.174	-0.084	0.308	
Prestw-239	Orphenadrine hydrochloride	B	H20	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.032	-0.071	-0.027	0.092	-0.126	
Prestw-240	Proglumide	B	J20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.08	0.228	0.16	-0.157	0.212	
Prestw-241	Mexiletine hydrochloride	B	K20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.024	0.126	0.112	0.02	0.118	
Prestw-242	Flavoxate hydrochloride	B	L20	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.059	-0.014	0.046	0.076	0.033	
Prestw-243	Bufexamac	B	M20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.095	0.255	0.185	0.125	0.27	
Prestw-244	Glutethimide, para-amino	B	N20	BSF018293	BSF018297	BSF018301	BSF018305	1	0.562	0.589				0.562	0.59	-0.127	0.067	0.437	
Prestw-245	Dropropizine (R,S)	B	O20	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.018	-0.008	0.01	-0.058	-0.013	
Prestw-246	Pinacidil	B	P20	BSF018293	BSF018297	BSF018301	BSF018305	0						0.014	-0.062	-0.08	-0.213	-0.116	
Prestw-247	Albendazole	B	A21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.086	-0.011	-0.121	-0.103	-0.203	
Prestw-248	Clonidine hydrochloride	B	B21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.012	-0.066	-0.079	-0.102	-0.186	
Prestw-249	Bupropion hydrochloride	B	C21	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.005	0.008	0.018	-0.035	0.016	
Prestw-250	Alprenolol hydrochloride	B	E21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.004	-0.046	-0.041	0.029	-0.084	
Prestw-251	Chlorothiazide	B	F21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.042	0.046	0.003	-0.054	0.001	
Prestw-252	Diphenidol hydrochloride	B	G21	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.056	-0.18	-0.115	-0.128	-0.189	
Prestw-253	Norethindrone	B	H21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.079	0.202	0.123	0.107	0.142	
Prestw-254	Nortriptyline hydrochloride	B	I21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.035	0.024	-0.013	-0.044	-0.02	
Prestw-255	Niflumic acid	B	J21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.08	0.323	0.267	0.073	0.314	
Prestw-256	Isotretinoin	B	K21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.146	0.387	0.275	0.218	0.398	
Prestw-257	Retinoic acid	B	L21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.057	0.122	0.066	0.031	0.096	
Prestw-258	Antazoline hydrochloride	B	M21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.03	0.183	0.166	-0.006	0.169	
Prestw-259	Ethacrynic acid	B	N21	BSF018293	BSF018297	BSF018301	BSF018305	0						0.027	0.23	0.219	0.068	0.198	
Prestw-260	Praziquantel	B	P21	BSF018293	BSF018297	BSF018301	BSF018305	1	0.55	0.502				0.55	0.502	-0.281	-0.36	0.196	
Prestw-261	Ethisterone	B	A22	BSF018293	BSF018297	BSF018301	BSF018305	0						0.096	-0.005	-0.133	-0.286	-0.223	
Prestw-262	Triprolidine hydrochloride	B	B22	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.013	0.115	0.142	-0.082	0.14	
Prestw-263	Doxepin hydrochloride	B	C22	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.031	-0.083	-0.044	-0.103	-0.069	
Prestw-264	Dyclonine hydrochloride	B	D22	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.037	0.091	0.132	-0.091	0.117	
Prestw-265	Dimenhydrinate	B	E22	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.06	-0.183	-0.109	0.029	-0.162	
Prestw-266	Disopyramide	B	F22	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.1	-0.091	0.019	-0.016	-0.02	
Prestw-267	Clotrimazole	B	G22	BSF018293	BSF018297	BSF018301	BSF018305	0						0.019	0.244	0.249	0.016	0.257	
Prestw-268	Vinpocetine	B	H22	BSF018293	BSF018297	BSF018301	BSF018305	1	0.404					0.404	0.421	-0.045	-0.046	0.305	
Prestw-269	Clomipramine hydrochloride	B	I22	BSF018293	BSF018297	BSF018301	BSF018305	0						0.033	0.053	0.025	-0.057	-0.006	
Prestw-270	Fendiline hydrochloride	B	K22	BSF018293	BSF018297	BSF018301	BSF018305	0						0.14	0.122	-0.041	-0.176	0.035	
Prestw-271	Vincamine	B	L22	BSF018293	BSF018297	BSF018301	BSF018305	1						0.242	0.409	0.195	0.094	0.374	
Prestw-272	Indomethacin	B	M22	BSF018293	BSF018297	BSF018301	BSF018305	1	0.425					0.425	0.405	-0.131	-0.107	0.244	
Prestw-273	Cortisone	B	N22	BSF018293	BSF018297	BSF018301	BSF018305	1	0.535					0.535	0.595	-0.024	0.117	0.507	
Prestw-274	Prednisolone	B	O22	BSF018293	BSF018297	BSF018301	BSF018305	1	0.566					0.566	0.527	-0.275	-0.12	0.322	
Prestw-275	Fenofibrate	B	P22	BSF018293	BSF018297	BSF018301	BSF018305	1						0.036	0.051	0.02	-0.076	0	
Prestw-276	Bumetanide	C	A3	BSF018293	BSF018297	BSF018301	BSF018305	0						0.084	0.03	-0.07	-0.057	-0.125	
Prestw-277	Labetalol hydrochloride	C	B3	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.008	-0.128	-0.123	-0.081	-0.219	
Prestw-278	Cinnarizine	C	C3	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.02	-0.066	-0.045	0.131	-0.055	
Prestw-279	Methylprednisolone, 6-alpha	C	D3	BSF018293	BSF018297	BSF018301	BSF018305	1	0.61					0.61	0.6	-0.226	0.004	0.387	
Prestw-280	Quinidine hydrochloride monohydrate	C	F3	BSF018293	BSF018297	BSF018301	BSF018305	0						0.015	0.084	0.072	-0.083	0.073	
Prestw-281	Fludrocortisone acetate	C	G3	BSF018293	BSF018297	BSF018301	BSF018305	0	0.519					0.519	0.546	-0.078	0.052	0.385	
Prestw-282	Fenoterol hydrobromide	C	H3	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.014	0.066	0.087	-0.161	0.086	
Prestw-283	Homochlorcyclizine dihydrochloride	C	I3	BSF018293	BSF018297	BSF018301	BSF018305	0						-0.028	-0.13	-0.102	-0.094	-0.117	
Prestw-284	Diethylcarbamazine citrate	C	J3	BSF018294	BSF018298	BSF018302	BSF018306	0						0.068	0.104	0.033	0.047	0.015	
Prestw-285	Chenodiol	C	K3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.013	-0.07	-0.05	0.03	-0.067	
Prestw-286	Perhexiline maleate	C	L3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.049	-0.188	-0.13	-0.121	-0.161	
Prestw-287	Oxybutynin chloride	C	M3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.014	0.071	0.091	0.061	0.141	
Prestw-288	Spiperone	C	N3	BSF018294	BSF018298	BSF018302	BSF018306	0						0.037	0.103	0.073	-0.126	0.082	
Prestw-289	Pyrilamine maleate	C	O3	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.011	0.109	0.126	-0.047	0.125	
Prestw-290	Sulfinpyrazone	C	A4	BSF018294	BSF018298	BSF018302	BSF018306	0						0.039	-0.002	-0.053	-0.077	-0.078	
Prestw-291	Dantrolene sodium salt	C	B4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.02	0.025	0.047	-0.054	0.045	
Prestw-292	Trazodone hydrochloride	C	C4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.031	-0.024	0.014	-0.032	0.062	
Prestw-293	Glafenine hydrochloride	C	D4	BSF018294	BSF018298	BSF018302	BSF018306	0						0.002	0.088	0.091	0.115	0.116	
Prestw-294	Pimethixene maleate	C	E4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	-0.183	-0.159	-0.009	-0.204	
Prestw-295	Pergolide mesylate	C	F4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.029	-0.069	-0.032	-0.038	-0.03	
Prestw-296	Acemetacin	C	G4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.058	-0.001	0.065	0.127	0.102	
Prestw-297	Benzydamine hydrochloride	C	H4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.083	-0.076	0.021	0.089	0.033	
Prestw-298	Fipexide hydrochloride	C	I4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.064	0.002	0.075	-0.177	0.119	
Prestw-299	Mifepristone	C	J4	BSF018294	BSF018298	BSF018302	BSF018306	1						0.093	0.06	-0.044	-0.148	0.037	
Prestw-300	Diperodon hydrochloride	C	M4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.058	-0.112	-0.046	-0.073	-0.036	
Prestw-301	Lisinopril	C	N4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.009	-0.009	0.006	-0.096	-0.006	
Prestw-302	Lincomycin hydrochloride	C	O4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.055	-0.148	-0.089	-0.169	-0.097	
Prestw-303	Telenzepine dihydrochloride	C	P4	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.003	0.008	0.018	-0.016	0.007	
Prestw-304	Econazole nitrate	C	A5	BSF018294	BSF018298	BSF018302	BSF018306	0						0.062	0.047	-0.019	-0.05	0.027	
Prestw-305	Bupivacaine hydrochloride	C	B5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.061	0.097	0.171	0.108	0.166	
Prestw-306	Clemastine fumarate	C	C5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.007	-0.101	-0.096	0.085	-0.084	
Prestw-307	Oxytetracycline dihydrate	C	D5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.028	0.016	0.051	0.05	0.077	
Prestw-308	Pimozide	C	E5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.087	-0.227	-0.125	-0.057	-0.219	
Prestw-309	Amodiaquin dihydrochloride dihydrate	C	F5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.027	-0.298	-0.272	-0.183	-0.371	
Prestw-310	Mebeverine hydrochloride	C	H5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.033	0.036	0.079	-0.028	0.091	
Prestw-311	Ifenprodil tartrate	C	I5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.035	0.047	0.089	-0.101	0.111	
Prestw-312	Flunarizine dihydrochloride	C	J5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	0.132	0.165	0.169	0.214	
Prestw-313	Trifluoperazine dihydrochloride	C	K5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.024	0.015	0.047	-0.087	0.119	
Prestw-314	Enalapril maleate	C	L5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.01	-0.001	0.014	-0.033	0.008	
Prestw-315	Minocycline hydrochloride	C	M5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.001	0.181	0.189	0.138	0.235	
Prestw-316	Glibenclamide	C	N5	BSF018294	BSF018298	BSF018302	BSF018306	0						0.009	0.027	0.013	-0.084	0.034	
Prestw-317	Guanethidine sulfate	C	O5	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.062	-0.025	0.036	-0.055	0.034	
Prestw-318	Quinacrine dihydrochloride dihydrate	C	P5	BSF018294	BSF018298	BSF018302	BSF018306	1	0.427					0.427	0.603	0.259	0.357	0.595	
Prestw-319	Clofilium tosylate	C	A6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.093	0.103	0.001	-0.017	0.047	
Prestw-320	Fluphenazine dihydrochloride	C	C6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.005	-0.046	-0.047	0.019	-0.026	
Prestw-321	Streptomycin sulfate	C	D6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.039	0.085	0.135	0.09	0.176	
Prestw-322	Alfuzosin hydrochloride	C	E6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.012	-0.067	-0.05	-0.076	-0.047	
Prestw-323	Chlorpropamide	C	F6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.005	-0.026	-0.029	-0.113	-0.039	
Prestw-324	Phenylpropanolamine hydrochloride	C	G6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.078	-0.092	-0.002	0.143	-0.001	
Prestw-325	Ascorbic acid	C	H6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.003	0.09	0.099	0.038	0.103	
Prestw-326	Methyldopa (L,-)	C	I6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.038	0.067	0.114	0.021	0.159	
Prestw-327	Cefoperazone dihydrate	C	J6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.013	-0.042	-0.06	-0.013	-0.103	
Prestw-328	Zoxazolamine	C	K6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.043	0.052	0.107	0.011	0.164	
Prestw-329	Tacrine hydrochloride	C	L6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.018	-0.039	-0.017	-0.069	-0.014	
Prestw-330	Bisoprolol fumarate	C	N6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.008	-0.073	-0.09	-0.227	-0.091	
Prestw-331	Tremorine dihydrochloride	C	O6	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.008	0.019	0.029	0.03	0.022	
Prestw-332	Practolol	C	P6	BSF018294	BSF018298	BSF018302	BSF018306	0						0.035	-0.132	-0.18	-0.222	-0.253	
Prestw-333	Zidovudine, AZT	C	A7	BSF018294	BSF018298	BSF018302	BSF018306	0						0.099	0.151	0.059	-0.031	0.092	
Prestw-334	Sulfisoxazole	C	B7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.031	0.072	0.106	0.138	0.14	
Prestw-335	Zaprinast	C	C7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.051	0.06	0.116	0.075	0.136	
Prestw-336	Chlormezanone	C	D7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.077	0.05	0.132	0.103	0.143	
Prestw-337	Procainamide hydrochloride	C	E7	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.034	-0.045	-0.002	-0.026	0.011	
Prestw-338	N6-methyladenosine	C	F7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.053	-0.175	-0.111	-0.068	-0.133	
Prestw-339	Guanfacine hydrochloride	C	G7	BSF018294	BSF018298	BSF018302	BSF018306	1						0.062	0.38	0.345	0.237	0.536	
Prestw-340	Domperidone	C	I7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.015	0.039	0.066	0.082	0.106	
Prestw-341	Furosemide	C	J7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.026	-0.003	0.031	0.023	0.034	
Prestw-342	Methapyrilene hydrochloride	C	K7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.07	0.001	0.079	0.062	0.123	
Prestw-343	Desipramine hydrochloride	C	L7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.063	-0.231	-0.155	-0.111	-0.195	
Prestw-344	Clorgyline hydrochloride	C	M7	BSF018294	BSF018298	BSF018302	BSF018306	0						0.014	0.148	0.143	-0.017	0.201	
Prestw-345	Clenbuterol hydrochloride	C	N7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.019	0.092	0.11	-0.108	0.137	
Prestw-346	Maprotiline hydrochloride	C	O7	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.026	-0.242	-0.217	-0.03	-0.271	
Prestw-347	Thioguanosine	C	P7	BSF018294	BSF018298	BSF018302	BSF018306	1						0.048	0.19	0.151	0.042	0.227	
Prestw-348	Chlorprothixene hydrochloride	C	A8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.083	-0.187	-0.324	-0.152	-0.407	
Prestw-349	Ritodrine hydrochloride	C	B8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.014	0.006	0	0.192	0.007	
Prestw-350	Clozapine	C	D8	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.032	-0.036	0.005	0.045	0.028	
Prestw-351	Chlorthalidone	C	E8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.003	0.072	0.075	0.125	0.095	
Prestw-352	Dobutamine hydrochloride	C	F8	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.025	-0.026	0	-0.105	0.016	
Prestw-353	Moclobemide	C	G8	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.026	0.082	0.114	0.01	0.102	
Prestw-355	Hycanthone	C	I8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.032	0.177	0.159	0.161	0.235	
Prestw-356	Adenosine 5'-monophosphate monohydrate	C	J8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.036	-0.031	-0.074	-0.136	-0.107	
Prestw-357	Amoxicillin	C	K8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.015	-0.006	-0.023	0.094	-0.028	
Prestw-359	Dextromethorphan hydrobromide monohydrate	C	L8	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.071	-0.4	-0.31	-0.22	-0.426	
Prestw-360	Droperidol	C	N8	BSF018294	BSF018298	BSF018302	BSF018306	0						0.015	0.181	0.176	0.164	0.219	
Prestw-361	Bambuterol hydrochloride	C	O8	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.005	0.032	0.038	0.093	0.045	
Prestw-362	Betamethasone	C	P8	BSF018294	BSF018298	BSF018302	BSF018306	1	0.578	0.525				0.578	0.526	-0.317	0.005	0.253	
Prestw-363	Colchicine	C	A9	BSF018294	BSF018298	BSF018302	BSF018306	1	0.916	1.104	0.837	1	1.234	0.916	1.105	0.836	1.002	1.234	
Prestw-364	Metergoline	C	B9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.006	0.018	0.012	-0.016	0.074	
Prestw-365	Brinzolamide	C	C9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.045	0.141	0.195	0.1	0.215	
Prestw-366	Ambroxol hydrochloride	C	D9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.02	0.184	0.212	0.065	0.273	
Prestw-367	Benfluorex hydrochloride	C	E9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.067	-0.169	-0.089	0.035	-0.078	
Prestw-368	Bepridil hydrochloride	C	F9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.003	0.156	0.174	0.101	0.226	
Prestw-369	Meloxicam	C	G9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.085	-0.091	0.005	0.15	0.017	
Prestw-370	Benzbromarone	C	I9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.037	0.004	0.058	0.104	0.082	
Prestw-371	Ketotifen fumarate	C	J9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.062	-0.175	-0.098	-0.041	-0.105	
Prestw-372	Debrisoquin sulfate	C	K9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.071	-0.101	-0.016	0.019	-0.004	
Prestw-373	Amethopterin (R,S)	C	L9	BSF018294	BSF018298	BSF018302	BSF018306	1	0.791	1.127	1.168	1	1.297	0.791	1.127	1.168	1.002	1.297	
Prestw-374	Methylergometrine maleate	C	M9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.022	-0.144	-0.116	-0.045	-0.124	
Prestw-375	Methiothepin maleate	C	N9	BSF018294	BSF018298	BSF018302	BSF018306	0						0.007	-0.124	-0.143	0.044	-0.134	
Prestw-376	Clofazimine	C	O9	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.001	0.343	0.36	0.247	0.41	
Prestw-377	Nafronyl oxalate	C	P9	BSF018294	BSF018298	BSF018302	BSF018306	1						-0.012	-0.155	-0.141	-0.184	-0.177	
Prestw-378	Bezafibrate	C	A10	BSF018294	BSF018298	BSF018302	BSF018306	0						0.08	-0.036	-0.138	-0.08	-0.149	
Prestw-380	Clebopride maleate	C	C10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.023	-0.106	-0.079	-0.018	-0.067	
Prestw-381	Lidoflazine	C	D10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.026	0.054	0.087	0.041	0.116	
Prestw-382	Betaxolol hydrochloride	C	E10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.011	0.034	0.04	-0.008	0.055	
Prestw-383	Nicardipine hydrochloride	C	F10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.026	-0.111	-0.078	0.095	-0.031	
Prestw-384	Probucol	C	G10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.038	-0.027	0.012	0.065	0.037	
Prestw-385	Mitoxantrone dihydrochloride	C	H10	BSF018294	BSF018298	BSF018302	BSF018306	1	0.971	1.098		1	1.232	0.971	1.098	-0.112	1.002	1.232	
Prestw-386	GBR 12909 dihydrochloride	C	I10	BSF018294	BSF018298	BSF018302	BSF018306	0						-0.051	-0.101	-0.033	0.088	-0.033	
